text,label
What time does the next bus arrive?,Irrelevant
Do you know any good restaurants nearby?,Irrelevant
Can you help me with my math homework?,Irrelevant
What's the latest news headlines?,Irrelevant
How do I fix a leaking faucet?,Irrelevant
What's the capital of France?,Irrelevant
Who won the World Series last year?,Irrelevant
What's the best way to learn a new language?,Irrelevant
Can you tell me the recipe for chocolate cake?,Irrelevant
What's the meaning of life?,Irrelevant
Do you believe in aliens?,Irrelevant
Can you teach me how to play guitar?,Irrelevant
What's the population of Tokyo?,Irrelevant
How do I get to the nearest train station?,Irrelevant
Can you recommend a good movie to watch?,Irrelevant
What's the tallest mountain in the world?,Irrelevant
Who is the current president of the United States?,Irrelevant
What's the current cricket score?,Irrelevant
How do I renew my passport?,Irrelevant
Can you recommend a good saree shop in Mumbai?,Irrelevant
What's the price of gold today?,Irrelevant
Do you know any good places to visit in Goa?,Irrelevant
How do I file my income tax returns?,Irrelevant
Can you help me find a job in Bangalore?,Irrelevant
What's the best way to cook biryani?,Irrelevant
How do I apply for a PAN card?,Irrelevant
What's the distance between Delhi and Agra?,Irrelevant
Do you have any tips for growing tomatoes in pots?,Irrelevant
Can you suggest a good recipe for paneer tikka?,Irrelevant
How do I register for a vaccination slot?,Irrelevant
What's the exchange rate for USD to INR?,Irrelevant
Do you know any good yoga classes in my area?,Irrelevant
How do I book a train ticket online?,Irrelevant
Can you recommend a good historical book about India?,Irrelevant
What's the procedure for getting a driving license?,Irrelevant
How do I start a small business in India?,Irrelevant
What's the best time to visit the Taj Mahal?,Irrelevant
Do you have any recommendations for authentic Indian restaurants in Delhi?,Irrelevant
How do I track my courier package?,Irrelevant
Can you suggest a good Bollywood movie to watch?,Irrelevant
What's the procedure for registering a marriage in India?,Irrelevant
Do you know any good tailors for stitching clothes?,Irrelevant
How do I check my bank account balance?,Irrelevant
What's the process for applying for a student visa to study abroad?,Irrelevant
Can you recommend a good place to learn classical dance in Kolkata?,Irrelevant
What's the procedure for booking a gas cylinder refill?,Irrelevant
Do you know any good places for street food in Hyderabad?,Irrelevant
How do I apply for a Aadhaar card?,Irrelevant
What's the best time to visit Kerala?,Irrelevant
Can you suggest some good places for shopping in Jaipur?,Irrelevant
What's the process for applying for a loan?,Irrelevant
Do you have any recommendations for online grocery delivery services?,Irrelevant
How do I book a flight ticket online?,Irrelevant
What's the procedure for obtaining a birth certificate?,Irrelevant
Can you suggest a good book on Indian history?,Irrelevant
What's the procedure for applying for a ration card?,Irrelevant
How do I recharge my mobile phone?,Irrelevant
Do you know any good places for trekking in the Himalayas?,Irrelevant
What's the best time to visit Ladakh?,Irrelevant
Can you recommend a good place for street photography in Mumbai?,Irrelevant
How do I check my electricity bill online?,Irrelevant
What's the process for applying for a passport?,Irrelevant
Do you have any tips for preparing for the UPSC exam?,Irrelevant
Can you suggest a good restaurant for a romantic dinner in Bangalore?,Irrelevant
What's the procedure for registering a trademark?,Irrelevant
How do I apply for a new gas connection?,Irrelevant
What's the best way to learn Hindi?,Irrelevant
